id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
597113967696802812,Lovely Living room in a shared apartment,144670030,Luiz Fernando,Kreis 10,Höngg,47.40793,8.49206,Private room,,2,41,2025-09-22,1.02,1,0,12,
598468675153452910,Apartment with Rooftop terrace in the city center,21118064,Val,Kreis 4,Langstrasse,47.3752,8.52918,Entire home/apt,,4,3,2022-05-22,0.07,1,0,0,
598510790872486016,Cosy & Chic Boutique Studio at Kunsthaus/ Bellevue,1348435,Rafael,Kreis 7,Hottingen,47.37082,8.55322,Entire home/apt,132,2,54,2025-09-05,1.66,8,297,27,
599045269410451379,"Blueground | Leimbach, storage & w/d, nr market",434204093,Blueground,Kreis 2,Wollishofen,47.33942039999999,8.518288199999999,Entire home/apt,265,30,1,2022-09-30,0.03,179,77,0,
599609062368738052,Einzigartiges SwissStyle Hotel an ruhiger Citylage,249607672,Swiss Night,Kreis 7,Hottingen,47.36967,8.55171,Private room,366,1,99,2025-09-14,2.45,2,284,41,
599974705648567963,"Beautiful small Apartment "" El silencio""",371008290,Sonia,Kreis 4,Hard,47.380001,8.507076,Entire home/apt,100,1,255,2025-09-14,6.11,13,130,55,
601071894403005782,"Helle, sonnige Wohnung mit Balkon",11601417,Fabienne,Kreis 6,Unterstrass,47.3915,8.53832,Entire home/apt,,7,2,2022-09-15,0.05,1,0,0,
601820637000876851,Wohnung zwischen Zürich Stadtzentrum und Flughafen,453567330,Waheed,Kreis 11,Seebach,47.42748,8.54903,Entire home/apt,136,2,58,2025-09-21,1.38,1,231,13,
602551672322761005,Zurich High End Family Residence with AC & Parking,90399530,Daniella,Kreis 3,Alt-Wiedikon,47.36043,8.52183,Entire home/apt,1076,7,2,2023-07-08,0.07,12,337,0,
602777194891984917,Peaceful and Rare in the center of Zurich.Heavenly,443850095,Pearl,Kreis 2,Enge,47.35562,8.52942,Private room,150,1,31,2024-07-26,0.75,1,365,0,
